id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
260,dish,keripik gadung,446.0,2.8,14.5,76.0,tkpi
261,dish,keripik lampung,485.0,1.7,22.2,69.7,tkpi
262,dish,keripik oncom,598.0,8.3,43.8,42.6,tkpi
263,dish,keripik singkong,478.0,0.9,20.7,72.0,tkpi
264,dish,keripik singkong berbumbu,481.0,2.2,19.7,73.6,tkpi
265,dish,keripik tempe,581.0,12.1,40.6,41.7,tkpi
266,dish,keripik tempe abadi besar,556.0,15.8,37.1,39.8,tkpi
267,dish,keripik tempe abadi murni,542.0,40.3,42.4,11.6,tkpi
268,dish,keripik tempe abadi prima,540.0,16.7,33.9,42.0,tkpi
269,dish,keripik tempe abadi sedang,510.0,12.3,27.9,52.4,tkpi
270,dish,keripik tempe abadi telur,529.0,20.8,31.7,40.2,tkpi
271,dish,kerupuk kemplang goreng,504.0,5.6,28.1,57.1,tkpi
272,dish,kerupuk kemplang panggang,356.0,9.7,1.1,76.9,tkpi
273,dish,kerupuk mie kuning goreng,476.0,0.1,21.1,71.3,tkpi
274,dish,ketan hitam matang,181.0,4.0,1.2,37.3,tkpi
275,dish,ketan putih matang,163.0,3.0,0.4,35.7,tkpi
276,komponen,ketela pohon singkong segar,154.0,1.0,0.3,36.8,tkpi
277,dish,ketela pohonsingkong kukus,153.0,1.2,0.3,36.4,tkpi
278,dish,ketupat ketan,212.0,4.0,4.6,38.6,tkpi
279,komponen,koro andong kering,356.0,20.5,4.1,61.6,tkpi
280,komponen,koro roay kering,344.0,12.5,2.1,69.4,tkpi
281,komponen,kranji segar,315.0,2.1,1.4,73.5,tkpi
282,dish,kue jahe,425.0,1.6,8.8,84.6,tkpi
283,dish,kue putu cangkir,304.0,5.3,7.0,54.9,tkpi
284,komponen,kuro segar,87.0,16.0,2.2,1.0,tkpi
285,komponen,lamtoro var gung tanpa kulit,367.0,46.4,5.4,32.5,tkpi
286,komponen,lamtoro var lokal dengan kulit,336.0,23.8,1.2,59.7,tkpi
287,dish,lanting getuk,422.0,0.9,10.8,80.4,tkpi
288,dish,lapis legit,389.0,6.6,15.7,55.5,tkpi
289,dish,ledre pisang,405.0,4.8,5.1,84.9,tkpi
290,dish,lempog durian,320.0,3.5,5.7,63.7,tkpi
291,komponen,lontar segar,27.0,0.4,0.2,6.0,tkpi
292,dish,lupis ketan,164.0,1.8,2.1,34.5,tkpi
293,komponen,markisa segar,144.0,3.5,1.2,29.8,tkpi
294,dish,melinjo emping tebal goreng manis,439.0,10.0,16.4,65.7,tkpi
