id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
78,komponen,kacang ranti polong,37.0,3.1,0.2,7.9,tkpi,0.08378378151935727,0.005405405259313372,0.2135135077428782,15.499922500387498,0.7164953999021462
79,dish,kangkung kukus,30.0,3.2,0.7,4.7,tkpi,0.10666666311111123,0.02333333255555558,0.15666666144444463,4.571422040825657,0.8081493229338824
80,dish,kangkung rebus,22.0,2.5,0.6,3.1,tkpi,0.1136363584710746,0.027272726033057904,0.14090908450413253,4.166659722233796,0.8281250821167121
81,komponen,kangkung segar,28.0,3.4,0.7,3.9,tkpi,0.12142856709183689,0.024999999107142887,0.13928570931122466,4.857135918377259,0.8243069279807665
82,dish,karedok sayur,92.0,2.2,3.3,14.1,tkpi,0.02391304321833649,0.03586956482750473,0.1532608678993384,0.6666664646465259,0.7260584676185506
83,komponen,kecombrang segar,34.0,0.9,1.0,6.7,tkpi,0.026470587456747432,0.02941176384083048,0.1970588177335642,0.8999991000009001,0.6847809982736828
84,dish,keripik bayam,586.0,4.9,40.6,50.2,tkpi,0.008361774729758064,0.0692832763322811,0.085665528864052,0.12068965219976227,0.7963427645289272
85,komponen,ketimun krai segar,10.0,0.5,0.2,2.0,tkpi,0.049999995000000505,0.019999998000000203,0.19999998000000202,2.4999875000624994,0.7083700787403033
86,komponen,ketimun madura segar,9.0,0.5,0.1,1.9,tkpi,0.05555554938271674,0.01111110987654335,0.2111110876543236,4.999950000499995,0.691311015925594
87,komponen,ketimun segar,8.0,0.2,0.2,1.4,tkpi,0.024999996875000395,0.024999996875000395,0.17499997812500273,0.9999950000249999,0.6857303194726456
88,dish,ketoprak,153.0,7.9,7.7,13.0,tkpi,0.05163398659062754,0.050326797056687606,0.08496731970609595,1.0259738927306632,0.9142425541298501
89,komponen,kulit melinjo,111.0,4.5,1.1,20.7,tkpi,0.04054054017531045,0.009909909820631444,0.18648648480642807,4.090905371904207,0.6748462710785985
90,dish,lawar babi masakan,174.0,17.0,10.0,3.0,tkpi,0.0977011488637865,0.05747126403752147,0.01724137921125644,1.6999998300000172,0.8094841311168639
91,dish,lawar penyu masakan,141.0,23.0,1.5,7.6,tkpi,0.1631205662190031,0.010638297796891506,0.053900708837583626,15.333323111117927,0.7181646492350251
92,dish,paria putih kukus,16.0,0.8,0.2,3.4,tkpi,0.049999996875000195,0.012499999218750049,0.2124999867187508,3.9999800000999994,0.6843535355151568
93,komponen,paria putih segar,19.0,1.0,0.4,3.6,tkpi,0.05263157617728546,0.021052630470914185,0.18947367423822767,2.499993750015625,0.7222311112533379
94,dish,penyu serapah masakan,174.0,13.1,12.2,2.2,tkpi,0.07528735588915313,0.0701149421257762,0.012643678088254725,1.0737704037893112,0.8203687073876517
95,dish,rawon masakan,60.0,5.4,2.5,4.0,tkpi,0.08999999850000004,0.04166666597222224,0.06666666555555557,2.1599991360003457,0.9004912063398789
96,dish,rendang sapi masakan,193.0,22.6,7.9,7.8,tkpi,0.11709844498912723,0.04093264227496041,0.040414507562619134,2.860759131549477,0.818450743361832
97,dish,rujak cingur,153.0,11.3,8.4,8.0,tkpi,0.07385620866760649,0.05490196042547739,0.05228758135759751,1.3452379350907222,0.9469151744882965
98,komponen,sapi abon,212.0,18.0,10.6,59.3,tkpi,0.0849056599768601,0.04999999976415094,0.27971697981265575,1.6981130473478259,0.7562316128719623
99,komponen,sapi abon asli,358.0,14.6,16.1,38.6,tkpi,0.04078212279111139,0.04497206691348585,0.10782122874910272,0.9068322418116619,0.8415981356414131
